Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,323222,,,,
2011-07-01,270231,,,,
2011-10-01,505545,,,,
2012-01-01,402949,,,,
2012-04-01,360094,,,,
2012-07-01,302961,,,,
2012-10-01,557597,,,,
2013-01-01,454454,,,,
2013-04-01,407713,,,,
2013-07-01,350835,393560.1,86461.76706,566483.6341,220636.5659
2013-10-01,670113,428249.2,115869.3632,659987.9263,196510.4737
2014-01-01,497711,450997.2,104373.1615,659743.5229,242250.8771
2014-04-01,460964,446539.1,102889.5993,652318.2985,240759.9015
2014-07-01,404350,446679.2,102831.0865,652341.3729,241017.0271
2014-10-01,688923,479562.1,120877.845,721317.79,237806.41
2015-01-01,539374,503203.4,106261.4409,715726.2819,290680.5181
2015-04-01,487463,496190,104743.5711,705677.1423,286702.8577
2015-07-01,411860,491930.6,107191.5982,706313.7964,277547.4036
2015-10-01,705018,521661.1,120156.1471,761973.3942,281348.8058
2016-01-01,571206,543698.2,106203.4838,756105.1677,331291.2323
2016-04-01,573092,533996.1,98353.33556,730702.7711,337289.4289
2016-07-01,485562,532781.2,98867.72977,730516.6595,335045.7405
2016-10-01,801318,566816.6,123741.0595,814298.719,319334.481
2017-01-01,658690,592250.6,113443.7923,819138.1846,365363.0154
2017-04-01,614682,584826.5,109225.1721,803276.8442,366376.1558
2017-07-01,544703,585359.4,109014.9109,803389.2217,367329.5783
2017-10-01,903485,626961.6,138980.3114,904922.2229,349000.9771
2018-01-01,734038,659179.4,121643.767,902466.934,415891.866
2018-04-01,655799,654257.5,120681.4233,895620.3466,412894.6534
2018-07-01,560416,653178.5,121464.8477,896108.1955,410248.8045
2018-10-01,924273,688296.6,142226.1099,972748.8198,403844.3802
2019-01-01,782358,717976.2,126972.4796,971921.1592,464031.2408
2019-04-01,712222,709066.6,123900.5856,956867.7712,461265.4288
2019-07-01,608227,704020.3,126842.3127,957704.9253,450335.6747
2019-10-01,1053034,747855.5,159844.8329,1067545.166,428165.8341
2020-01-01,883959,781781.1,148743.8964,1079268.893,484293.3071
2020-04-01,752768,766709.4,143180.2453,1053069.891,480348.9093
2020-07-01,655053,758810.9,146895.0969,1052601.094,465020.7063
