Time,Sales,Predicted
2011-04-01,323222,
2011-07-01,270231,
2011-10-01,505545,
2012-01-01,402949,
2012-04-01,360094,
2012-07-01,302961,
2012-10-01,557597,
2013-01-01,454454,
2013-04-01,407713,
2013-07-01,350835,
2013-10-01,670113,
2014-01-01,497711,
2014-04-01,460964,
2014-07-01,404350,
2014-10-01,688923,
2015-01-01,539374,
2015-04-01,487463,
2015-07-01,411860,
2015-10-01,705018,
2016-01-01,571206,
2016-04-01,573092,
2016-07-01,485562,
2016-10-01,801318,
2017-01-01,658690,
2017-04-01,614682,
2017-07-01,544703,
2017-10-01,903485,
2018-01-01,734038,
2018-04-01,655799,
2018-07-01,560416,
2018-10-01,924273,
2019-01-01,782358,
2019-04-01,712222,
2019-07-01,608227,
2019-10-01,1053034,
2020-01-01,883959,
2020-04-01,752768,
2020-07-01,655053,
2020-10-01,,1106021.63
2021-01-01,,932316.839
2021-04-01,,844262.9381
2021-07-01,,741387.9645
2021-10-01,,1132054.685
2022-01-01,,987067.0255
2022-04-01,,889620.0653
2022-07-01,,779381.4873
2022-10-01,,1273125.019
2023-01-01,,1094021.236
2023-04-01,,929770.1774
2023-07-01,,821537.6019
2023-10-01,,1307463.683
2024-01-01,,1132144.324
2024-04-01,,1040368.583
