Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,64670,,,,
2011-07-01,55463,,,,
2011-10-01,65815,,,,
2012-01-01,75087,,,,
2012-04-01,75789,,,,
2012-07-01,59899,,,,
2012-10-01,70447,,,,
2013-01-01,79707,,,,
2013-04-01,70645,,,,
2013-07-01,63145,68659.64,7232.73,83125.1,54194.17
2013-10-01,74589,70727.36,7377.59,85482.54,55972.19
2014-01-01,87415,74325.27,7709.16,89743.6,58906.94
2014-04-01,95040,74605.18,9933.05,94471.28,54739.08
2014-07-01,68894,74390,10110.78,94611.56,54168.44
2014-10-01,72720,74029.36,10115.3,94259.97,53798.76
2015-01-01,71822,76693.27,8994,94681.26,58705.28
2015-04-01,89202,76011.55,9685.64,95382.84,56640.26
2015-07-01,62948,75156.45,10539.53,96235.52,54077.39
2015-10-01,70301,75443.45,10556.33,96556.12,54330.79
2016-01-01,73802,77151.55,9751.66,96654.86,57648.23
2016-04-01,81934,75872.36,9843.19,95558.74,56185.98
2016-07-01,60518,74919.64,10400.29,95720.22,54119.06
2016-10-01,76935,76045.18,8005.1,92055.38,60034.98
2017-01-01,107421,77913.64,12912.97,103739.58,52087.69
2017-04-01,89447,77603.64,13357.01,104317.66,50889.61
2017-07-01,69310,78909.09,13501.82,105912.73,51905.46
2017-10-01,86182,81058.82,13283.96,107626.75,54490.89
2018-01-01,112849,84263.73,15860.37,115984.46,52542.99
2018-04-01,98202,85188.73,15858,116904.73,53472.73
2018-07-01,80476,87329.91,15480.86,118291.62,56368.19
2018-10-01,97355,90180.45,15732.43,121645.32,58715.59
2019-01-01,113290,94219.27,14473.09,123165.45,65273.09
2019-04-01,104945,94118.45,13757.28,121633.02,66603.89
2019-07-01,75826,92788.27,14373.76,121535.79,64040.75
2019-10-01,92789,95524.27,14330.98,124186.23,66862.32
2020-01-01,119543,94822.09,13901.27,122624.62,67019.56
2020-04-01,61586,92643.55,17508.39,127660.32,57626.77
2020-07-01,62218,90894.87,19064.72,129024.31,52765.43
2020-10-01,93613.59398,95118.96,17251.35,129621.66,60616.26
2021-01-01,93463.57699,96038.35,17572.27,131182.89,60893.81
2021-04-01,93928.55728,97025.47,17866.67,132758.82,61292.12
2021-07-01,95303.39985,98247.23,18155.91,134559.05,61935.42
2022-01-01,98218.1314,100490.07,18923.53,138337.12,62643.01
