Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,182219,,,,
2011-07-01,189096,,,,
2011-10-01,197079,,,,
2012-01-01,208941,,,,
2012-04-01,203182,,,,
2012-07-01,202602,,,,
2012-10-01,211963,,,,
2013-01-01,231618,,,,
2013-04-01,221810,,,,
2013-07-01,224408,207291.8,14909.61036,237111.0207,177472.5793
2013-10-01,231690,212238.9,13945.80113,240130.5023,184347.2977
2014-01-01,243562,217685.5,14469.76831,246625.0366,188745.9634
2014-04-01,247541,222731.7,15184.93873,253101.5775,192361.8225
2014-07-01,246390,226476.6,15922.03704,258320.6741,194632.5259
2014-10-01,242325,230390.9,14458.3145,259307.529,201474.271
2015-01-01,242829,234413.6,11450.28733,257314.1747,211513.0253
2015-04-01,257820,238999.3,10698.75915,260396.8183,217601.7817
2015-07-01,240308,239868.3,10413.03016,260694.3603,219042.2397
2015-10-01,252284,242915.7,9052.58477,261020.8695,224810.5305
2016-01-01,255990,246073.9,7403.735536,260881.3711,231266.4289
2016-04-01,273538,250258.7,9593.788084,269446.2762,231071.1238
2016-07-01,262498,252152.3,9947.387406,272047.0748,232257.5252
2016-10-01,274360,254834.2,11787.69332,278409.5866,231258.8134
2017-01-01,270473,257242.5,12266.88877,281776.2775,232708.7225
2017-04-01,287451,261755.1,14110.81741,289976.7348,233533.4652
2017-07-01,280664,265538.6,13591.7335,292722.067,238355.133
2017-10-01,305759,270332.5,17820.32888,305973.1578,234691.8422
2018-01-01,324057,278707.4,21116.5883,320940.5766,236474.2234
2018-04-01,324955,285974.5,23176.7988,332328.0976,239620.9024
2018-07-01,314756,291851.1,22261.17754,336373.4551,247328.7449
2018-10-01,345528,299050.1,26425.71514,351901.5303,246198.6697
2019-01-01,359041,308704.4,28833.97508,366372.3502,251036.4498
2019-04-01,350920,316360.4,28862.5309,374085.4618,258635.3382
2019-07-01,325815,321894.6,24511.05707,370916.7141,272872.4859
2019-10-01,349232,328072.7,22775.42941,373623.5588,282521.8412
2020-01-01,358928,335899.1,18108.3991,372115.8982,299682.3018
2020-04-01,170611,322384.3,52786.71553,427957.7311,216810.8689
2020-07-01,298505,319829.1,53260.21586,426349.5317,213308.6683
