Time,Sales,Predicted
2011-04-01,182219,
2011-07-01,189096,
2011-10-01,197079,
2012-01-01,208941,
2012-04-01,203182,
2012-07-01,202602,
2012-10-01,211963,
2013-01-01,231618,
2013-04-01,221810,
2013-07-01,224408,
2013-10-01,231690,
2014-01-01,243562,
2014-04-01,247541,
2014-07-01,246390,
2014-10-01,242325,
2015-01-01,242829,
2015-04-01,257820,
2015-07-01,240308,
2015-10-01,252284,
2016-01-01,255990,
2016-04-01,273538,
2016-07-01,262498,
2016-10-01,274360,
2017-01-01,270473,
2017-04-01,287451,
2017-07-01,280664,
2017-10-01,305759,
2018-01-01,324057,
2018-04-01,324955,
2018-07-01,314756,
2018-10-01,345528,
2019-01-01,359041,
2019-04-01,350920,
2019-07-01,325815,
2019-10-01,349232,
2020-01-01,358928,
2020-04-01,170611,
2020-07-01,298505,
2020-10-01,,203914
2021-01-01,,232446
2021-04-01,,234417
2021-07-01,,224631
2021-10-01,,216946
2022-01-01,,218081
2022-04-01,,250553
2022-07-01,,250178
2022-10-01,,253605
2023-01-01,,241033
2023-04-01,,395065
2023-10-01,,403402
2024-01-01,,414896
2024-04-01,,415054
