Time,Sales,Predicted
2011-04-01,225669,
2011-07-01,263657,
2011-10-01,245399,
2012-01-01,291257,
2012-04-01,263982,
2012-07-01,304587,
2012-10-01,271594,
2013-01-01,323412,
2013-04-01,303684,
2013-07-01,341392,
2013-10-01,308435,
2014-01-01,348424,
2014-04-01,334552,
2014-07-01,390144,
2014-10-01,394998,
2015-01-01,371841,
2015-04-01,371179,
2015-07-01,433096,
2015-10-01,442648,
2016-01-01,413144,
2016-04-01,417101,
2016-07-01,484122,
2016-10-01,503381,
2017-01-01,494233,
2017-04-01,492027,
2017-07-01,544308,
2017-10-01,573664,
2018-01-01,559522,
2018-04-01,565871,
2018-07-01,623661,
2018-10-01,649806,
2019-01-01,656245,
2019-04-01,637682,
2019-07-01,723713,
2019-10-01,760995,
2020-01-01,764128,
2020-04-01,605507,
2020-07-01,670348,
2020-10-01,,736316.215
2021-01-01,,738279.071
2021-04-01,,751054.8302
2021-07-01,,812859.8202
2021-10-01,,837568.2491
2022-01-01,,838419.5076
2022-04-01,,824011.4493
2022-07-01,,906875.9948
2022-10-01,,941096.398
2023-01-01,,942130.7715
2023-04-01,,810522.942
2023-07-01,,873199.5933
2023-10-01,,932848.7402
2024-01-01,,932031.973
2024-04-01,,943698.5287
