Time,Sales,SMA,SD,Upper Band,Lower Band
4/1/2011,225669,,,,
7/1/2011,263657,,,,
10/1/2011,245399,,,,
1/1/2012,291257,,,,
4/1/2012,263982,,,,
7/1/2012,304587,,,,
10/1/2012,271594,,,,
1/1/2013,323412,,,,
4/1/2013,303684,,,,
7/1/2013,341392,283463.30,34013.56,351490.43,215436.17
10/1/2013,308435,291739.90,28579.03,348897.96,234581.84
1/1/2014,348424,300216.60,31422.13,363060.86,237372.34
4/1/2014,334552,309131.90,26930.70,362993.30,255270.50
7/1/2014,390144,319020.60,35381.08,389782.77,248258.43
10/1/2014,394998,332122.20,36803.55,405729.29,258515.11
1/1/2015,371841,338847.60,37298.92,413445.44,264249.76
4/1/2015,371179,348806.10,30728.90,410263.89,287348.31
7/1/2015,433096,359774.50,38339.95,436454.41,283094.59
10/1/2015,442648,373670.90,40608.24,454887.38,292454.42
1/1/2016,413144,380846.10,40609.92,462065.94,299626.26
4/1/2016,417101,391712.70,33737.04,459186.78,324238.62
7/1/2016,484122,405282.50,40256.74,485795.98,324769.02
10/1/2016,503381,422165.40,42398.39,506962.19,337368.61
1/1/2017,494233,432574.30,45892.43,524359.17,340789.43
4/1/2017,492027,442277.20,47161.78,536600.77,347953.63
7/1/2017,544308,459523.90,49716.07,558956.04,360091.76
10/1/2017,573664,479772.40,50833.06,581438.52,378106.28
1/1/2018,559522,492415.00,53313.19,599041.38,385788.62
4/1/2018,565871,504737.30,54610.99,613959.27,395515.33
7/1/2018,623661,525789.00,55808.04,637405.08,414172.92
10/1/2018,649806,549059.50,54127.02,657313.54,440805.46
1/1/2019,656245,566271.80,57971.17,682214.14,450329.46
4/1/2019,637682,579701.90,57399.52,694500.95,464902.85
7/1/2019,723713,602649.90,64121.14,730892.19,474407.61
10/1/2019,760995,629546.70,68349.53,766245.75,492847.65
1/1/2020,764128,651528.70,72616.10,796760.90,506296.50
4/1/2020,605507,654713.00,69774.40,794261.80,515164.20
7/1/2020,670348,665795.60,62160.73,790117.05,541474.15
