Time,Sales,Predicted
2011-04-01,44662,
2011-07-01,46631,
2011-10-01,47957,
2012-01-01,47418,
2012-04-01,54330,
2012-07-01,52471,
2012-10-01,54453,
2013-01-01,54095,
2013-04-01,62946,
2013-07-01,65066,
2013-10-01,64911,
2014-01-01,67231,
2014-04-01,69662,
2014-07-01,71641,
2014-10-01,70691,
2015-01-01,70264,
2015-04-01,80345,
2015-07-01,83635,
2015-10-01,78419,
2016-01-01,79253,
2016-04-01,88422,
2016-07-01,89213,
2016-10-01,88829,
2017-01-01,89245,
2017-04-01,106824,
2017-07-01,107304,
2017-10-01,103950,
2018-01-01,107023,
2018-04-01,113836,
2018-07-01,118456,
2018-10-01,113804,
2019-01-01,110316,
2019-04-01,124751,
2019-07-01,122547,
2019-10-01,115188,
2020-01-01,124030,
2020-04-01,118150,
2020-07-01,118709,
2020-10-01,,118763
2021-01-01,,117961
2021-04-01,,128223
2021-07-01,,131449
2021-10-01,,126220
2022-01-01,,127196
2022-04-01,,136190
2022-07-01,,137081
2022-10-01,,136929
2023-01-01,,137065
2023-04-01,,155424
2023-07-01,,155902
2023-10-01,,152434
2024-01-01,,155636
2024-04-01,,162334
