Time,Sales,SMA,SD,Upper Band,Lower Band
4/1/2011,44662,,,,
7/1/2011,46631,,,,
10/1/2011,47957,,,,
1/1/2012,47418,,,,
4/1/2012,54330,,,,
7/1/2012,52471,,,,
10/1/2012,54453,,,,
1/1/2013,54095,,,,
4/1/2013,62946,,,,
7/1/2013,65066,53002.90,6454.05,65910.99,40094.81
10/1/2013,64911,55027.80,6691.62,68411.03,41644.57
1/1/2014,67231,57087.80,6955.24,70998.27,43177.33
4/1/2014,69662,59258.30,7151.09,73560.49,44956.11
7/1/2014,71641,61680.60,6825.28,75331.16,48030.04
10/1/2014,70691,63316.70,6828.12,76972.94,49660.46
1/1/2015,70264,65096.00,6043.25,77182.50,53009.50
4/1/2015,80345,67685.20,6460.87,80606.93,54763.47
7/1/2015,83635,70639.20,6323.52,83286.24,57992.16
10/1/2015,78419,72186.50,6142.21,84470.93,59902.07
1/1/2016,79253,73605.20,5969.71,85544.63,61665.77
4/1/2016,88422,75956.30,6671.18,89298.66,62613.94
7/1/2016,89213,78154.50,7045.10,92244.71,64064.29
10/1/2016,88829,80071.20,7081.10,94233.40,65909.00
1/1/2017,89245,81831.60,6953.56,95738.72,67924.48
4/1/2017,106824,85444.90,9238.33,103921.56,66968.24
7/1/2017,107304,89148.90,9816.48,108781.85,69515.95
10/1/2017,103950,91509.40,10244.40,111998.19,71020.61
1/1/2018,107023,93848.20,10832.55,115513.31,72183.09
4/1/2018,113836,97389.90,10997.54,119384.97,75394.83
7/1/2018,118456,101310.20,10819.44,122949.09,79671.31
10/1/2018,113804,103848.40,10469.81,124788.01,82908.79
1/1/2019,110316,105958.70,9376.94,124712.58,87204.82
4/1/2019,124751,109550.90,8999.75,127550.40,91551.40
7/1/2019,122547,112881.10,6749.97,126381.05,99381.15
10/1/2019,115188,113717.50,6459.56,126636.62,100798.38
1/1/2020,124030,115390.10,6741.65,128873.39,101906.81
4/1/2020,118150,116810.10,5577.41,127964.92,105655.28
7/1/2020,118709,117978.70,4530.31,127039.32,108918.08
