Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,350857,,,,
2011-07-01,329937,,,,
2011-10-01,334727,,,,
2012-01-01,394465,,,,
2012-04-01,374606,,,,
2012-07-01,395939,,,,
2012-10-01,377768,,,,
2013-01-01,424523,,,,
2013-04-01,413131,,,,
2013-07-01,424395,382034.80,33033.47,448101.74,315967.86
2013-10-01,416194,388568.50,32680.28,453929.05,323207.95
2014-01-01,459732,401548.00,32591.29,466730.58,336365.42
2014-04-01,471159,415191.20,30234.41,475660.02,354722.38
2014-07-01,476474,423392.10,34343.35,492078.80,354705.40
2014-10-01,435195,429451.00,30309.70,490070.40,368831.60
2015-01-01,495542,439411.30,33822.58,507056.46,371766.14
2015-04-01,510270,452661.50,33022.79,518707.09,386615.91
2015-07-01,513542,461563.40,36093.31,533750.02,389376.78
2015-10-01,486748,468925.10,32823.61,534572.31,403277.89
2016-01-01,554259,481911.50,37929.37,557770.24,406052.76
2016-04-01,575997,497891.80,40454.87,578801.53,416982.07
2016-07-01,575852,509503.80,44316.14,598136.07,420871.53
2016-10-01,554950,517882.90,44195.18,606273.26,429492.54
2017-01-01,626923,532927.80,52386.73,637701.26,428154.34
2017-04-01,583784,547786.70,42743.98,633274.66,462298.74
2017-07-01,633546,561587.10,45816.06,653219.23,469954.97
2017-10-01,620420,572602.10,45393.48,663389.06,481815.14
2018-01-01,708858,592133.70,56452.12,705037.95,479229.45
2018-04-01,664844,609943.30,47830.16,705603.63,514282.97
2018-07-01,692530,623770.40,49684.18,723138.76,524402.04
2018-10-01,673890,633559.70,48945.43,731450.56,535668.84
2019-01-01,735502,649524.70,53357.09,756238.89,542810.51
2019-04-01,694993,663529.00,44307.54,752144.08,574913.92
2019-07-01,687906,669627.30,43027.81,755682.93,583571.67
2019-10-01,664294,677678.30,32442.43,742563.17,612793.43
2020-01-01,728394,687163.10,32015.50,751194.10,623132.10
2020-04-01,421746,667295.70,85026.10,837347.91,497243.49
2020-07-01,699930,666402.90,84630.95,835664.81,497140.99
2020-10-01,729994.88,672917.99,86741.59,846401.16,499434.81
2021-01-01,740742.26,677739.21,89007.92,855755.04,499723.38
2021-01-04,739923.95,684342.61,90906.64,866155.88,502529.34
2021-01-07,738795.35,684671.94,91097.15,866866.23,502477.65
2021-01-10,739897.42,689162.39,92589.73,874341.85,503982.92
2022-01-01,778518.09,698223.60,96379.66,890982.92,505464.27
2022-01-04,778777.91,709671.99,98446.70,906565.38,512778.59
2022-01-07,777557.62,714588.35,100465.79,915519.94,513656.76
2022-01-10,778069.29,750220.68,25515.33,801251.33,699190.03
