Time,Sales,Predicted
4/1/2011,350857,
7/1/2011,329937,
10/1/2011,334727,
1/1/2012,394465,
4/1/2012,374606,
7/1/2012,395939,
10/1/2012,377768,
1/1/2013,424523,
4/1/2013,413131,
7/1/2013,424395,
10/1/2013,416194,
1/1/2014,459732,
4/1/2014,471159,
7/1/2014,476474,
10/1/2014,435195,
1/1/2015,495542,
4/1/2015,510270,
7/1/2015,513542,
10/1/2015,486748,
1/1/2016,554259,
4/1/2016,575997,
7/1/2016,575852,
10/1/2016,554950,
1/1/2017,626923,
4/1/2017,583784,
7/1/2017,633546,
10/1/2017,620420,
1/1/2018,708858,
4/1/2018,664844,
7/1/2018,692530,
10/1/2018,673890,
1/1/2019,735502,
4/1/2019,694993,
7/1/2019,687906,
10/1/2019,664294,
1/1/2020,728394,
4/1/2020,421746,
7/1/2020,699930,
10/1/2020,729994.88,
1/1/2021,740742.26,
1/4/2021,739923.95,
1/7/2021,738795.35,
1/10/2021,739897.42,
1/1/2022,778518.09,
1/4/2022,778777.91,
1/7/2022,777557.62,
1/10/2022,778069.29,
2020/10/01,,560583.9789
2021/01/01,,715575.6013
2021/04/01,,636200.3365
2021/07/01,,682302.6575
2021/10/01,,654292.0414
2022/01/01,,720784.7806
2022/04/01,,676905.4547
2022/07/01,,671086.9993
2022/10/01,,646732.1573
2023/01/01,,711104.4393
,,
,,
,,
,,
,,
