Time,Sales,Predicted
2011-04-01,64670,
2011-07-01,55463,
2011-10-01,65815,
2012-01-01,75087,
2012-04-01,75789,
2012-07-01,59899,
2012-10-01,70447,
2013-01-01,79707,
2013-04-01,70645,
2013-07-01,63145,
2013-10-01,74589,
2014-01-01,87415,
2014-04-01,95040,
2014-07-01,68894,
2014-10-01,72720,
2015-01-01,71822,
2015-04-01,89202,
2015-07-01,62948,
2015-10-01,70301,
2016-01-01,73802,
2016-04-01,81934,
2016-07-01,60518,
2016-10-01,76935,
2017-01-01,107421,
2017-04-01,89447,
2017-07-01,69310,
2017-10-01,86182,
2018-01-01,112849,
2018-04-01,98202,
2018-07-01,80476,
2018-10-01,97355,
2019-01-01,113290,
2019-04-01,104945,
2019-07-01,75826,
2019-10-01,92789,
2020-01-01,119543,
2020-04-01,61586,
2020-07-01,62218,
2020-10-01,,90181
2021-01-01,,120204
2021-04-01,,107839
2021-07-01,,90408
2021-10-01,,107224
2022-01-01,,122902
2022-04-01,,115008
2022-07-01,,86097
2022-10-01,,103049
2023-01-01,,129901
2023-04-01,,72983
2023-07-01,,73076
2023-10-01,,100751
2024-01-01,,130686
2024-04-01,,118263
