Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,64670,,,,
2011-07-01,55463,,,,
2011-10-01,65815,,,,
2012-01-01,75087,,,,
2012-04-01,75789,,,,
2012-07-01,59899,,,,
2012-10-01,70447,,,,
2013-01-01,79707,,,,
2013-04-01,70645,,,,
2013-07-01,63145,68066.7,7232.731186,82532.16237,53601.23763
2013-10-01,74589,69058.6,7377.588864,83813.77773,54303.42227
2014-01-01,87415,72253.8,7709.164842,87672.12968,56835.47032
2014-04-01,95040,75176.3,9933.050529,95042.40106,55310.19894
2014-07-01,68894,74557,10110.78099,94778.56198,54335.43802
2014-10-01,72720,74250.1,10115.3042,94480.7084,54019.4916
2015-01-01,71822,75442.4,8993.995755,93430.39151,57454.40849
2015-04-01,89202,77317.9,9685.644867,96689.18973,57946.61027
2015-07-01,62948,75642,10539.53027,96721.06055,54562.93945
2015-10-01,70301,75607.6,10556.33186,96720.26371,54494.93629
2016-01-01,73802,76673.3,9751.656526,96176.61305,57169.98695
2016-04-01,81934,77407.8,9843.189552,97094.1791,57721.4209
2016-07-01,60518,74718.1,10400.2896,95518.67919,53917.52081
2016-10-01,76935,72907.6,8005.099377,88917.79875,56897.40125
2017-01-01,107421,76760.3,12912.97403,102586.2481,50934.35195
2017-04-01,89447,78433,13357.01337,105147.0267,51718.97326
2017-07-01,69310,78181.8,13501.81786,105185.4357,51178.16428
2017-10-01,86182,77879.8,13283.9648,104447.7296,51311.8704
2018-01-01,112849,82869.9,15860.36735,114590.6347,51149.1653
2018-04-01,98202,85660,15858.0011,117376.0022,53943.99781
2018-07-01,80476,86327.4,15480.85738,117289.1148,55365.68524
2018-10-01,97355,87869.5,15732.43378,119334.3676,56404.63244
2019-01-01,113290,93146.7,14473.09088,122092.8818,64200.51824
2019-04-01,104945,95947.7,13757.28262,123462.2652,68433.13475
2019-07-01,75826,92788.2,14373.76098,121535.722,64040.67804
2019-10-01,92789,93122.4,14330.9788,121784.3576,64460.44239
2020-01-01,119543,98145.7,13901.26547,125948.2309,70343.16906
2020-04-01,61586,95686.1,17508.38953,130702.8791,60669.32093
2020-07-01,62218,90623,19064.72084,128752.4417,52493.55833
