Time,Sales,Predicted
2011-04-01,395102,
2011-07-01,407657,
2011-10-01,343065,
2012-01-01,385053,
2012-04-01,461070,
2012-07-01,479904,
2012-10-01,400489,
2013-01-01,435169,
2013-04-01,533978,
2013-07-01,585666,
2013-10-01,459327,
2014-01-01,490537,
2014-04-01,620774,
2014-07-01,695118,
2014-10-01,520847,
2015-01-01,526608,
2015-04-01,690702,
2015-07-01,774052,
2015-10-01,579758,
2016-01-01,586608,
2016-04-01,783003,
2016-07-01,874053,
2016-10-01,619110,
2017-01-01,635271,
2017-04-01,867582,
2017-07-01,944159,
2017-10-01,696275,
2018-01-01,698542,
2018-04-01,974229,
2018-07-01,1068600,
2018-10-01,785893,
2019-01-01,793409,
2019-04-01,1056866,
2019-07-01,1138695,
2019-10-01,818382,
2020-01-01,828581,
2020-04-01,1010899,
2020-07-01,1072756,
2020-10-01,,796401.8697
2021-01-01,,795695.4421
2021-04-01,,1122600.815
2021-07-01,,1221890.309
2021-10-01,,898930.3537
2022-01-01,,906742.1532
2022-04-01,,1200754.667
2022-07-01,,1278382.014
2022-10-01,,928286.6099
2023-01-01,,935769.2818
2023-04-01,,1095310.493
2023-07-01,,1150461.061
,,
,,
,,
