Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,395102,,,,
2011-07-01,407657,,,,
2011-10-01,343065,,,,
2012-01-01,385053,,,,
2012-04-01,461070,,,,
2012-07-01,479904,,,,
2012-10-01,400489,,,,
2013-01-01,435169,,,,
2013-04-01,533978,,,,
2013-07-01,585666,442715.30,70053.49,582822.29,302608.31
2013-10-01,459327,449137.80,68316.44,585770.67,312504.93
2014-01-01,490537,457425.80,67806.85,593039.49,321812.11
2014-04-01,620774,485196.70,72020.62,629237.94,341155.46
2014-07-01,695118,516203.20,87346.35,690895.91,341510.49
2014-10-01,520847,522180.90,85392.29,692965.47,351396.33
2015-01-01,526608,526851.30,84221.47,695294.24,358408.36
2015-04-01,690702,555872.60,85667.86,727208.32,384536.88
2015-07-01,774052,589760.90,97436.41,784633.73,394888.07
2015-10-01,579758,594338.90,95769.14,785877.19,402800.61
2016-01-01,586608,594433.10,95761.03,785955.16,402911.04
2016-04-01,783003,626800.70,99262.32,825325.34,428276.06
2016-07-01,874053,665152.30,112422.21,889996.72,440307.88
2016-10-01,619110,664985.90,112488.99,889963.87,440007.93
2017-01-01,635271,659001.20,112318.56,883638.31,434364.09
2017-04-01,867582,693674.70,117707.87,929090.45,458258.95
2017-07-01,944159,735429.80,124879.00,985187.81,485671.79
2017-10-01,696275,735987.10,124690.44,985367.99,486606.21
2018-01-01,698542,728436.10,124442.79,977321.69,479550.51
2018-04-01,974229,767883.20,133269.77,1034422.75,501343.65
2018-07-01,1068600,816082.40,145583.86,1107250.11,524914.69
2018-10-01,785893,816371.40,145520.76,1107412.92,525329.88
2019-01-01,793409,808307.00,144330.41,1096967.82,519646.18
2019-04-01,1056866,852082.60,146675.05,1145432.71,558732.49
2019-07-01,1138695,902425.00,149977.18,1202379.35,602470.65
2019-10-01,818382,897505.00,151835.00,1201174.99,593835.01
2020-01-01,828581,885947.20,152242.16,1190431.52,581462.88
2020-04-01,1010899,917409.60,141956.10,1201321.80,633497.40
2020-07-01,1072756,954831.00,127961.40,1210753.81,698908.19
