Time,Sales,SMA,SD,Upper Band,Lower Band
2020-10-01,,362410.7075,,482486.5118,242334.9031
2021-01-01,,-204625.7175,,-78387.69834,-330863.7367
2021-04-01,,-116145.8278,,18355.83901,-250647.4946
2021-07-01,,-130552.3297,,11511.58666,-272616.246
2021-10-01,,366457.7304,,515720.5412,217194.9197
2022-01-01,,-172210.1066,,-16081.67905,-328338.5342
2022-04-01,,-127114.0771,,35590.66767,-289818.8219
2022-07-01,,-137780.8239,,31244.55157,-306806.1993
2022-10-01,,471766.7865,,646884.8082,296648.7648
2023-01-01,,-207027.8068,,-26022.10114,-388033.5125
2023-04-01,,-194498.0317,,-7790.213362,-381205.8501
2023-07-01,,-136205.8995,,56034.9739,-328446.7728
2023-10-01,,337012.9957,,626165.0966,47860.89481
2024-01-01,,-246223.5772,,60064.88075,-552512.0351
2024-04-01,,-158882.5363,,167099.0936,-484864.1662
2024-07-01,,-172146.2703,,172091.1609,-516383.7016
2024-10-01,,340630.8899,,702230.917,-20969.13714
2025-01-01,,-211769.3044,,166394.5889,-589933.1977
2025-04-01,,-177812.0728,,216220.2204,-571844.3661
2025-07-01,,-178797.2205,,230488.6829,-588083.1239
2025-10-01,,456108.6267,,880099.7288,32117.52455
2026-01-01,,-249783.7092,,188419.3927,-687986.8111
2026-04-01,,-247838.0477,,204130.3831,-699806.4784
2026-07-01,,-179186.4285,,286140.3022,-644513.1591
2026-10-01,,299498.2139,,854138.1086,-255141.6807
2027-01-01,,-290501.1057,,290406.2985,-871408.51
2027-04-01,,-203635.477,,405891.6166,-813162.5705
2027-07-01,,-216422.163,,420124.2395,-852968.5654
2027-10-01,,302936.9685,,965429.3958,-359555.4588
2028-01-01,,-255195.7942,,432261.6378,-942653.2262
2028-04-01,,-225888.4505,,485658.8332,-937435.7342
2028-07-01,,-222832.0175,,512015.8065,-957679.8415
2028-10-01,,422659.618,,1180091.539,-334772.3028
2029-01-01,,-294544.6624,,484817.1949,-1073906.52
2029-04-01,,-297017.3359,,503674.0494,-1097708.721
2029-07-01,,-224041.152,,597426.1234,-1045508.427
2029-10-01,,256925.165,,1163476.973,-649626.643
2030-01-01,,-335897.2613,,604077.2723,-1275871.795
2030-04-01,,-249230.0932,,726264.9823,-1224725.169
2030-07-01,,-261817.6356,,747654.9557,-1271290.227
2030-10-01,,260289.1378,,1302658.418,-782080.1426
2031-01-01,,-300236.6839,,774020.0385,-1374493.406
2031-04-01,,-272870.4345,,832354.3189,-1378095.188
2031-07-01,,-268126.8449,,867221.5435,-1403475.233
2031-10-01,,381783.8247,,1546476.992,-782909.3428
2032-01-01,,-340142.6234,,853173.9254,-1533459.172
2032-04-01,,-344459.7295,,876809.5269,-1565728.986
2032-07-01,,-269678.2574,,978918.0777,-1518274.592
2032-10-01,,212240.5439,,1544022.717,-1119541.629
2033-01-01,,-381760.3874,,989299.9258,-1752820.701
