Time,Sales,SMA,SD,Upper Band,Lower Band
10/1/2020,,362410.7075,,482486.5118,242334.9031
1/1/2021,,-204625.7175,,-78387.69834,-330863.7367
4/1/2021,,-116145.8278,,18355.83901,-250647.4946
7/1/2021,,-130552.3297,,11511.58666,-272616.246
10/1/2021,,366457.7304,,515720.5412,217194.9197
1/1/2022,,-172210.1066,,-16081.67905,-328338.5342
4/1/2022,,-127114.0771,,35590.66767,-289818.8219
7/1/2022,,-137780.8239,,31244.55157,-306806.1993
10/1/2022,,471766.7865,,646884.8082,296648.7648
1/1/2023,,-207027.8068,,-26022.10114,-388033.5125
4/1/2023,,-194498.0317,,-7790.213362,-381205.8501
7/1/2023,,-136205.8995,,56034.9739,-328446.7728
10/1/2023,,337012.9957,,626165.0966,47860.89481
1/1/2024,,-246223.5772,,60064.88075,-552512.0351
4/1/2024,,-158882.5363,,167099.0936,-484864.1662
7/1/2024,,-172146.2703,,172091.1609,-516383.7016
10/1/2024,,340630.8899,,702230.917,-20969.13714
1/1/2025,,-211769.3044,,166394.5889,-589933.1977
4/1/2025,,-177812.0728,,216220.2204,-571844.3661
7/1/2025,,-178797.2205,,230488.6829,-588083.1239
10/1/2025,,456108.6267,,880099.7288,32117.52455
1/1/2026,,-249783.7092,,188419.3927,-687986.8111
4/1/2026,,-247838.0477,,204130.3831,-699806.4784
7/1/2026,,-179186.4285,,286140.3022,-644513.1591
10/1/2026,,299498.2139,,854138.1086,-255141.6807
1/1/2027,,-290501.1057,,290406.2985,-871408.51
4/1/2027,,-203635.477,,405891.6166,-813162.5705
7/1/2027,,-216422.163,,420124.2395,-852968.5654
10/1/2027,,302936.9685,,965429.3958,-359555.4588
1/1/2028,,-255195.7942,,432261.6378,-942653.2262
4/1/2028,,-225888.4505,,485658.8332,-937435.7342
7/1/2028,,-222832.0175,,512015.8065,-957679.8415
10/1/2028,,422659.618,,1180091.539,-334772.3028
1/1/2029,,-294544.6624,,484817.1949,-1073906.52
4/1/2029,,-297017.3359,,503674.0494,-1097708.721
7/1/2029,,-224041.152,,597426.1234,-1045508.427
10/1/2029,,256925.165,,1163476.973,-649626.643
1/1/2030,,-335897.2613,,604077.2723,-1275871.795
4/1/2030,,-249230.0932,,726264.9823,-1224725.169
7/1/2030,,-261817.6356,,747654.9557,-1271290.227
10/1/2030,,260289.1378,,1302658.418,-782080.1426
1/1/2031,,-300236.6839,,774020.0385,-1374493.406
4/1/2031,,-272870.4345,,832354.3189,-1378095.188
7/1/2031,,-268126.8449,,867221.5435,-1403475.233
10/1/2031,,381783.8247,,1546476.992,-782909.3428
1/1/2032,,-340142.6234,,853173.9254,-1533459.172
4/1/2032,,-344459.7295,,876809.5269,-1565728.986
7/1/2032,,-269678.2574,,978918.0777,-1518274.592
10/1/2032,,212240.5439,,1544022.717,-1119541.629
1/1/2033,,-381760.3874,,989299.9258,-1752820.701
