Time,Sales,SMA,SD,Upper Band,Lower Band
4/1/2011,1916470,,,,
7/1/2011,1900303,,,,
10/1/2011,2091166,,,,
1/1/2012,2199007,,,,
4/1/2012,2187402,,,,
7/1/2012,2202207,,,,
10/1/2012,2356864,,,,
1/1/2013,2456220,,,,
4/1/2013,2441377,,,,
7/1/2013,2511852,2226286.80,205201.49,2636689.79,1815883.81
10/1/2013,2706145,2305254.30,222034.98,2749324.25,1861184.35
1/1/2014,2703778,2385601.80,205736.16,2797074.13,1974129.47
4/1/2014,2807899,2457275.10,215301.08,2887877.26,2026672.94
7/1/2014,2870607,2524435.10,228600.47,2981636.04,2067234.16
10/1/2014,2940364,2599731.30,229192.52,3058116.34,2141346.26
1/1/2015,2885410,2668051.60,200549.80,3069151.20,2266952.00
4/1/2015,3050811,2737446.30,200926.11,3139298.52,2335594.08
7/1/2015,3064217,2798246.00,198604.59,3195455.18,2401036.82
10/1/2015,3173643,2871472.60,188250.87,3247974.35,2494970.85
1/1/2016,3169971,2937284.50,164574.05,3266432.60,2608136.40
4/1/2016,3400202,3006690.20,195842.23,3398374.67,2615005.73
7/1/2016,3426442,3078956.60,203900.28,3486757.16,2671156.04
10/1/2016,3538125,3151979.20,223560.65,3599100.50,2704857.90
1/1/2017,3600431,3224961.60,238425.68,3701812.96,2748110.24
4/1/2017,3713978,3302323.00,258217.24,3818757.48,2785888.52
7/1/2017,3785096,3392291.60,253982.53,3900256.66,2884326.54
10/1/2017,3984050,3485615.50,281344.41,4048304.31,2922926.69
1/1/2018,4029998,3582193.60,285840.70,4153875.00,3010512.20
4/1/2018,4156723,3680501.60,297249.87,4275001.35,3086001.85
7/1/2018,4203786,3783883.10,281048.50,4345980.10,3221786.10
10/1/2018,4368772,3880740.10,298488.47,4477717.04,3283763.16
1/1/2019,4410682,3979164.10,294708.75,4568581.60,3389746.60
4/1/2019,4489292,4074280.80,290478.16,4655237.11,3493324.49
7/1/2019,4465838,4160821.50,264133.69,4689088.89,3632554.11
10/1/2019,4675351,4256958.80,258904.18,4774767.17,3739150.43
1/1/2020,4712757,4349724.90,238611.77,4826948.44,3872501.36
4/1/2020,3566006,4307920.50,321306.22,4950532.94,3665308.06
7/1/2020,4280075,4332928.20,308165.13,4949258.46,3716597.94
