Time,Sales,Predicted
4/1/2011,330070,
7/1/2011,337631,
10/1/2011,351579,
1/1/2012,393836,
4/1/2012,394347,
7/1/2012,403846,
10/1/2012,412552,
1/1/2013,453240,
4/1/2013,427470,
7/1/2013,456946,
10/1/2013,480886,
1/1/2014,509165,
4/1/2014,508205,
7/1/2014,517595,
10/1/2014,514666,
1/1/2015,567130,
4/1/2015,554319,
7/1/2015,542097,
10/1/2015,558511,
1/1/2016,639436,
4/1/2016,607116,
7/1/2016,594624,
10/1/2016,619242,
1/1/2017,718175,
4/1/2017,672181,
7/1/2017,661102,
10/1/2017,694315,
1/1/2018,785108,
4/1/2018,758987,
7/1/2018,744890,
10/1/2018,778223,
1/1/2019,860520,
4/1/2019,806915,
7/1/2019,783108,
10/1/2019,821438,
1/1/2020,905193,
4/1/2020,424739,
7/1/2020,702556,
10/1/2020,,665255.734
1/1/2021,,768115.6191
4/1/2021,,739710.2256
7/1/2021,,726463.9158
10/1/2021,,758403.7261
1/1/2022,,840634.6764
4/1/2022,,788578.2001
7/1/2022,,765600.02
10/1/2022,,802927.2525
1/1/2023,,887791.9098
,,
,,
,,
,,
,,
