Time,Sales,SMA,SD,Upper Band,Lower Band
2011-04-01,330070,,,,
2011-07-01,337631,,,,
2011-10-01,351579,,,,
2012-01-01,393836,,,,
2012-04-01,394347,,,,
2012-07-01,403846,,,,
2012-10-01,412552,,,,
2013-01-01,453240,,,,
2013-04-01,427470,,,,
2013-07-01,456946,396151.7,42486.27698,481124.254,311179.146
2013-10-01,480886,411233.3,43115.42792,497464.1558,325002.4442
2014-01-01,509165,428386.7,44520.02834,517426.7567,339346.6433
2014-04-01,508205,444049.3,42235.88176,528521.0635,359577.5365
2014-07-01,517595,456425.2,43811.71369,544048.6274,368801.7726
2014-10-01,514666,468457.1,41575.57487,551608.2497,385305.9503
2015-01-01,567130,484785.5,44923.11737,574631.7347,394939.2653
2015-04-01,554319,498962.2,42176.18477,583314.5695,414609.8305
2015-07-01,542097,507847.9,40949.77456,589747.4491,425948.3509
2015-10-01,558511,520952,33403.30656,587758.6131,454145.3869
2016-01-01,639436,539201,42153.5753,623508.1506,454893.8494
2016-04-01,607116,551824,41698.49615,635220.9923,468427.0077
2016-07-01,594624,560369.9,40828.1416,642026.1832,478713.6168
2016-10-01,619242,571473.6,40225.85896,651925.3179,491021.8821
2017-01-01,718175,591531.6,55476.44624,702484.4925,480578.7075
2017-04-01,672181,607283.1,53750.59871,714784.2974,499781.9026
2017-07-01,661102,616680.3,54122.45143,724925.2029,508435.3971
2017-10-01,694315,630679.9,54286.94539,739253.7908,522106.0092
2018-01-01,785108,654981,62901.82643,780784.6529,529177.3471
2018-04-01,758987,675028.6,60875.38268,796779.3654,553277.8346
2018-07-01,744890,685574,62896.6212,811367.2424,559780.7576
2018-10-01,778223,702684.7,62498.21476,827681.1295,577688.2705
2019-01-01,860520,729274.3,67249.5853,863773.4706,594775.1294
2019-04-01,806915,748041.6,59685.77971,867413.1594,628670.0406
2019-07-01,783108,754534.9,59615.37735,873765.6547,635304.1453
2019-10-01,821438,769460.6,55683.05568,880826.7114,658094.4886
2020-01-01,905193,793869.7,56329.10747,906527.9149,681211.4851
2020-04-01,424739,766912.1,122804.2739,1012520.648,521303.5522
2020-07-01,702556,758656.9,124071.7657,1006800.431,510513.3686
